Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,Sun T.T.,81,272,332,90,1.33,3,6-1 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Myskina A.,Dulko G.,Dulko G.,16,59,1000,401,1.22,3.75,1-6 7-6 2-6
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,Loit E.,56,84,418,324,1.72,2,6-1 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Nakamura A.,Craybas J.,Craybas J.,57,70,405,365,1.83,1.83,5-7 2-6 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,Bartoli M.,18,180,951,152,1.16,4.5,7-6 6-3 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Perry S.,Pin C.,Pin C.,44,75,455,349,1.5,2.5,3-6 7-5 2-6
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,Daniilidou E.,36,51,538,422,1.36,2.87,6-3 4-6 6-1
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Tu M.,Erakovic M.,Erakovic M.,90,162,312,171,1.5,2.5,3-6 6-4 5-7
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,Razzano V.,88,78,319,343,1.83,1.83,7-6 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Johansson M.,Laine E.,Laine E.,140,74,204,349,2.37,1.53,6-7 1-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,Meusburger Y.,135,76,210,345,1.72,2,7-5 6-0 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Muller M.,Suarez P.,Suarez P.,34,178,545,155,2.25,1.57,6-3 1-6 1-6
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,Hantuchova D.,17,153,986,181,1.28,3.25,6-1 3-6 6-2
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Oprandi R.,Granville L.,Granville L.,53,68,421,372,2.1,1.66,3-6 4-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,Zvonareva V.,24,118,781,258,1.14,5,5-7 6-2 6-3
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Schruff J.,Jankovic J.,Jankovic J.,82,12,326,1211,5.5,1.12,3-6 4-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,Craybas J.,70,59,365,401,1.72,2,6-3 7-5 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Bartoli M.,Loit E.,Loit E.,18,56,951,418,1.28,3.25,5-7 4-6 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Suarez P.,Sun T.T.,Suarez P.,178,81,155,332,1.53,2.37,7-5 6-4 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Erakovic M.,Daniilidou E.,Daniilidou E.,162,36,171,538,4,1.22,4-6 6-2 4-6
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,Pin C.,75,135,349,210,1.53,2.37,2-6 6-3 6-3
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Laine E.,Jankovic J.,Jankovic J.,74,12,349,1211,5,1.14,2-6 1-6 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Razzano V.,Hantuchova D.,Razzano V.,88,17,319,986,3.25,1.28,6-1 7-5 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Granville L.,Zvonareva V.,Zvonareva V.,68,24,372,781,3.25,1.28,4-6 1-6 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,Quarterfinals,3,Pin C.,Loit E.,Pin C.,75,56,349,418,2.2,1.61,6-3 6-3 
ASB Classic,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Suarez P.,Craybas J.,Craybas J.,178,70,155,365,1.72,2.0,3-6 6-7 
ASB Classic,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Daniilidou E.,Jankovic J.,12,36,1211,538,1.19,4,6-3 6-4 
ASB Classic,2007-01-05 00:00:00,Outdoor,Hard,Semifinals,3,Craybas J.,Zvonareva V.,Zvonareva V.,70,24,365,781,3.75,1.25,3-6 5-7 
ASB Classic,2007-01-06 00:00:00,Outdoor,Hard,The Final,3,Jankovic J.,Zvonareva V.,Jankovic J.,12,24,1211,781,1.53,2.37,7-6 5-7 6-3
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Golds S.,Castano C.,Castano C.,599,54,20,420,5,1.14,3-6 4-6 
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Sequera M.,Ivanova E.,Sequera M.,103,183,280,148,1.66,2.1,6-4 6-2 
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Benesova I.,Bremond S.,Bremond S.,58,40,402,521,2,1.72,6-0 4-6 2-6
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,Hingis M.,7,49,2018,430,1.08,6.5,6-0 6-2 
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Camerin M.E.,Vesnina E.,Vesnina E.,50,47,426,445,2.25,1.57,3-6 2-6 
Mondial Australian Women's Hardcourts,2006-12-31 00:00:00,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,Ferguson S.,184,26,146,716,5.0,1.14,7-6 6-4 
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Shaughnessy M.,Peer S.,Peer S.,37,20,531,894,3.5,1.25,1-6 7-5 0-6
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Li N.,Zahlavova S.,Li N.,21,156,875,176,1.16,4.5,6-0 6-4 
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,King V.,Srebotnik K.,Srebotnik K.,60,23,398,819,2.37,1.53,4-6 3-6 
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Poutchkova O.,Fedak Y.,Poutchkova O.,39,80,525,334,1.5,2.5,6-7 7-6 6-3
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Groenefeld A.L.,Garbin T.,Garbin T.,19,38,922,529,1.72,2.0,6-7 7-6 3-6
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Ivanovic A.,Vinci R.,Ivanovic A.,14,85,1053,324,1.19,4,7-5 6-1 
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Bovina E.,Pratt N.,Pratt N.,1431,77,2,344,2.25,1.57,2-6 7-6 1-6
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,Kirilenko M.,30,28,637,692,2.37,1.53,6-1 6-2 
Mondial Australian Women's Hardcourts,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Peng S.,Stosur S.,Stosur S.,55,29,419,685,2.62,1.44,7-5 2-6 1-6
Mondial Australian Women's Hardcourts,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,Safina D.,11,43,1390,462,1.28,3.25,6-3 6-2 
Mondial Australian Women's Hardcourts,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Li N.,Castano C.,Castano C.,21,54,875,420,1.19,4.0,4-6 6-1 2-6
Mondial Australian Women's Hardcourts,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Garbin T.,Bremond S.,Garbin T.,38,40,529,521,1.9,1.8,6-3 6-1 
Mondial Australian Women's Hardcourts,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Srebotnik K.,Vesnina E.,Vesnina E.,23,47,819,445,1.5,2.5,3-6 2-6 
Mondial Australian Women's Hardcourts,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Hingis M.,Pratt N.,Hingis M.,7,77,2018,344,1.04,9,6-0 6-1 
Mondial Australian Women's Hardcourts,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Poutchkova O.,Peer S.,Peer S.,39,20,525,894,3.25,1.28,3-6 2-6 
Mondial Australian Women's Hardcourts,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Ivanovic A.,Sequera M.,Ivanovic A.,14,103,1053,280,1.1,6,6-1 6-2 
Mondial Australian Women's Hardcourts,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Kirilenko M.,Safina D.,Safina D.,30,11,637,1390,2.75,1.39,2-6 5-7 
Mondial Australian Women's Hardcourts,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Stosur S.,Ferguson S.,Stosur S.,29,184,685,146,1.12,5.5,6-3 6-4 
Mondial Australian Women's Hardcourts,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Vesnina E.,Garbin T.,Garbin T.,47,38,445,529,1.53,2.37,5-7 2-6 
Mondial Australian Women's Hardcourts,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Peer S.,Ivanovic A.,Peer S.,20,14,894,1053,2.37,1.53,5-7 6-4 6-4
Mondial Australian Women's Hardcourts,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Stosur S.,Safina D.,Safina D.,29,11,685,1390,2.37,1.53,6-7 3-6 
Mondial Australian Women's Hardcourts,2007-01-04 00:00:00,Outdoor,Hard,Quarterfinals,3,Hingis M.,Castano C.,Hingis M.,7,54,2018,420,1.04,9,6-3 6-1 
Mondial Australian Women's Hardcourts,2007-01-05 00:00:00,Outdoor,Hard,Semifinals,3,Peer S.,Safina D.,Safina D.,20,11,894,1390,2.25,1.57,6-4 6-7 1-6
Mondial Australian Women's Hardcourts,2007-01-06 00:00:00,Outdoor,Hard,The Final,3,Safina D.,Hingis M.,Safina D.,11,7,1390,2018,3.0,1.36,6-3 3-6 7-5
Moorilla Hobart International,2007-01-07 00:00:00,Outdoor,Hard,1st Round,3,Dominguez Lino L.,Chakvetadze A.,Chakvetadze A.,51,13,421,1144,5.816666666666667,1.1484999999999999,0-6 4-6 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Oprandi R.,Likhovtseva E.,Oprandi R.,52,44,421,451,2.88,1.4325,7-6 6-1 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Vinci R.,Castano C.,Castano C.,83,46,331,449,1.72,2.0,3-6 4-6 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Bremond S.,Krajicek M.,Bremond S.,38,37,537,542,2.62,1.44,3-6 6-1 6-0
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Camerin M.E.,Santangelo M.,Santangelo M.,50,30,426,611,2.25,1.57,5-7 6-2 3-6
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Mirza S.,Kirilenko M.,Mirza S.,66,29,382,633,1.83,1.83,6-4 6-4 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Muller M.,Safarova L.,Safarova L.,36,74,545,356,2.37,1.53,6-7 2-6 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,Bammer S.,56,87,415,320,2.0,1.72,7-6 6-1 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Vesnina E.,Medina Garrigues A.,Medina Garrigues A.,42,28,469,684,2,1.72,1-6 3-6 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Molik A.,Kostanic J.,Molik A.,165,53,169,420,1.33,3,4-6 6-1 6-2
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Moore J.,Bondarenko A.,Bondarenko A.,992,32,6,585,7,1.07,2-6 6-7 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Zheng J.,Foretz S.,Zheng J.,34,111,560,266,1.481,2.88,6-2 6-2 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Dulko G.,Bardina V.,Bardina V.,55,70,415,365,-1,-1,1-6 3-6 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Nakamura A.,Pennetta F.,Nakamura A.,64,31,390,608,-1,-1,7-5 7-5 
Moorilla Hobart International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Arvidsson S.,Williams S.,Williams S.,60,94,395,301,5,1.12,4-6 0-6 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,1st Round,3,Poutchkova O.,Obziler T.,Poutchkova O.,39,123,533,237,1.57,2.25,0-6 6-2 7-6
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Bremond S.,Zheng J.,Zheng J.,38,34,537,560,2.62,1.44,1-6 3-6 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Castano C.,Santangelo M.,Castano C.,46,30,449,611,2.1,1.66,6-3 6-2 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Medina Garrigues A.,Bammer S.,Bammer S.,28,56,684,415,1.39,2.75,4-6 3-6 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Williams S.,Safarova L.,Williams S.,94,74,301,356,1.19,4,6-3 3-6 7-6
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Nakamura A.,Bardina V.,Bardina V.,64,70,390,365,1.83,1.83,4-6 4-6 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Chakvetadze A.,Poutchkova O.,Chakvetadze A.,13,39,1144,533,-1,-1,7-6 7-5 
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Oprandi R.,Mirza S.,Mirza S.,52,66,421,382,3,1.36,7-6 3-6 0-6
Moorilla Hobart International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Molik A.,Bondarenko A.,Molik A.,165,32,169,585,1.72,2,6-3 7-5 
Moorilla Hobart International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Castano C.,Bardina V.,Bardina V.,46,70,449,365,1.66,2.1,6-3 2-6 5-7
Moorilla Hobart International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Mirza S.,Molik A.,Mirza S.,66,165,382,169,1.83,1.83,6-4 6-1 
Moorilla Hobart International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Zheng J.,Chakvetadze A.,Chakvetadze A.,34,13,560,1144,2.75,1.39,6-4 1-6 1-6
Moorilla Hobart International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Bammer S.,Williams S.,Bammer S.,56,94,415,301,5.0,1.14,3-6 7-5 6-3
Moorilla Hobart International,2007-01-11 00:00:00,Outdoor,Hard,Semifinals,3,Bammer S.,Bardina V.,Bardina V.,56,70,415,365,1.8,1.9,3-6 1-6 
Moorilla Hobart International,2007-01-11 00:00:00,Outdoor,Hard,Semifinals,3,Chakvetadze A.,Mirza S.,Chakvetadze A.,13,66,1144,382,1.39,2.75,6-4 6-1 
Moorilla Hobart International,2007-01-12 00:00:00,Outdoor,Hard,The Final,3,Bardina V.,Chakvetadze A.,Chakvetadze A.,70,13,365,1144,3.5,1.25,3-6 6-7 
Medibank International,2007-01-07 00:00:00,Outdoor,Hard,1st Round,3,Ivanovic A.,Dellacqua C.,Ivanovic A.,14,159,1087,175,1.0655000000000001,9.313333333333334,6-3 6-4 
Medibank International,2007-01-07 00:00:00,Outdoor,Hard,1st Round,3,Schiavone F.,Li N.,Li N.,15,21,1032,879,1.7595,2.1,4-6 5-7 
Medibank International,2007-01-07 00:00:00,Outdoor,Hard,1st Round,3,Peer S.,Groenefeld A.L.,Peer S.,18,19,934,922,1.3076666666666668,3.5100000000000002,6-4 6-2 
Medibank International,2007-01-07 00:00:00,Outdoor,Hard,1st Round,3,Hantuchova D.,Vaidisova N.,Vaidisova N.,17,11,968,1391,2.565,1.514,1-6 4-6 
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Stosur S.,Zvonareva V.,Stosur S.,27,24,704,794,2.25,1.57,6-1 6-4 
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Peng S.,Golovin T.,Golovin T.,54,22,419,828,2.5,1.44,4-6 5-7 
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Fedak Y.,Bartoli M.,Fedak Y.,82,20,338,881,3.25,1.3,7-6 6-2 
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Dushevina V.,Schnyder P.,Schnyder P.,101,9,288,1578,3.75,1.22,3-6 6-4 3-6
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Srebotnik K.,Bovina E.,Srebotnik K.,23,1323,825,3,1.19,4,6-3 6-1 
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Hingis M.,Jankovic J.,Jankovic J.,7,12,2063,1296,1.83,1.83,4-6 6-4 3-6
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Dementieva E.,Sugiyama A.,Dementieva E.,8,26,1875,716,1.28,3.25,6-7 7-6 6-0
Medibank International,2007-01-08 00:00:00,Outdoor,Hard,1st Round,3,Safina D.,Pratt N.,Pratt N.,10,72,1475,363,1.07,7.0,6-4 3-6 2-6
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Jankovic J.,Stosur S.,Jankovic J.,12,27,1296,704,1.44,2.62,6-2 7-6 
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Golovin T.,Mauresmo A.,Mauresmo A.,22,3,828,3391,3.25,1.28,7-6 5-7 1-6
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Peer S.,Schnyder P.,Peer S.,18,9,934,1578,2.1,1.66,7-6 6-2 
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Dementieva E.,Li N.,Li N.,8,21,1875,879,1.39,2.75,6-3 1-6 5-7
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Clijsters K.,Pratt N.,Clijsters K.,5,72,2215,363,1.04,8.5,6-1 6-2 
Medibank International,2007-01-09 00:00:00,Outdoor,Hard,2nd Round,3,Fedak Y.,Vaidisova N.,Vaidisova N.,82,11,338,1391,6,1.1,3-6 1-6 
Medibank International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Clijsters K.,Peer S.,Clijsters K.,5,18,2215,934,1.16,4.5,6-2 6-1 
Medibank International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Srebotnik K.,Li N.,Li N.,23,21,825,879,2.2,1.61,5-7 1-6 
Medibank International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Mauresmo A.,Jankovic J.,12,3,1296,3391,2.37,1.53,7-5 6-0 
Medibank International,2007-01-10 00:00:00,Outdoor,Hard,Quarterfinals,3,Ivanovic A.,Vaidisova N.,Vaidisova N.,14,11,1087,1391,1.9,1.8,4-6 2-6 
Medibank International,2007-01-11 00:00:00,Outdoor,Hard,Semifinals,3,Clijsters K.,Li N.,Clijsters K.,5,21,2215,879,1.08,7,6-1 1-6 7-5
Medibank International,2007-01-11 00:00:00,Outdoor,Hard,Semifinals,3,Vaidisova N.,Jankovic J.,Jankovic J.,11,12,1391,1296,2,1.72,4-6 6-4 4-6
Medibank International,2007-01-12 00:00:00,Outdoor,Hard,The Final,3,Clijsters K.,Jankovic J.,Clijsters K.,5,12,2215,1296,1.39,2.75,4-6 7-6 6-4
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Perry S.,Mauresmo A.,Mauresmo A.,44,3,449,3460,9.5,1.04,3-6 4-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Tu M.,Gallovits E.,Tu M.,90,108,315,271,1.44,2.62,2-6 6-4 6-2
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Domachowska M.,Poutchkova O.,Poutchkova O.,91,38,313,537,3,1.36,2-6 4-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Sequera M.,Gajdosova J.,Sequera M.,95,74,295,350,2.37,1.53,6-3 6-4 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Oprandi R.,Peer S.,Peer S.,54,17,429,961,6,1.1,1-6 3-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Ondraskova Z.,Fernandez C.,Ondraskova Z.,106,105,272,273,1.83,1.83,6-4 6-2 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Sprem K.,Kirilenko M.,Kirilenko M.,89,28,316,609,3.25,1.33,6-3 3-6 1-6
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Benesova I.,Voskoboeva G.,Benesova I.,84,110,324,262,1.72,2,6-7 6-1 6-4
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Pous Tio L.,Yakimova A.,Yakimova A.,101,68,283,375,2.25,1.57,2-6 6-4 5-7
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Azarenka V.,Fedak Y.,Azarenka V.,94,73,299,351,1.8,1.9,6-2 5-7 6-4
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Cravero J.,Muller M.,Muller M.,157,36,180,545,1.83,1.83,0-6 3-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Golovin T.,Smashnovai A.,Golovin T.,23,63,862,392,1.1,6,6-3 6-1 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Likhovtseva E.,Vakulenko J.,Vakulenko J.,43,116,451,257,1.72,2.0,0-6 6-4 3-6
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Dementieva E.,Foretz S.,Dementieva E.,8,112,1875,261,1.1,6.5,6-1 6-2 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Flipkens K.,Camerin M.E.,Camerin M.E.,103,55,277,426,2.37,1.53,2-6 2-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Sugiyama A.,Arvidsson S.,Sugiyama A.,26,61,730,395,1.28,3.5,6-3 6-4 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Craybas J.,Vaidisova N.,Vaidisova N.,64,12,389,1428,6.5,1.1,4-6 7-5 1-6
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Srebotnik K.,Dellacqua C.,Srebotnik K.,22,169,875,165,1.16,4.5,4-6 6-2 7-5
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Vesnina E.,Vesnina E.,30,41,604,469,1.61,2.2,7-6 1-6 1-6
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Jankovic J.,Wozniak A.,Jankovic J.,11,92,1456,301,1.04,10,6-3 6-3 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Sucha M.,Birnerova E.,Birnerova E.,82,83,325,324,1.53,2.37,5-7 3-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Ruano Pascual V.,Czink M.,Ruano Pascual V.,69,118,373,255,1.53,2.37,1-6 6-1 9-7
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Dushevina V.,Bartoli M.,Bartoli M.,109,21,266,881,2.1,1.66,0-6 3-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Safarova L.,Brianti A.,Safarova L.,70,98,370,292,1.33,3.25,6-3 6-1 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Sun T.T.,Dulko G.,Dulko G.,79,57,341,415,1.72,2.0,2-6 2-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Petrova N.,Tanasugarn T.,Petrova N.,6,71,2141,364,1.06,8,6-3 6-2 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Kloesel S.,Schiavone F.,Schiavone F.,93,20,300,896,5.5,1.12,4-6 4-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Schruff J.,Zheng J.,Schruff J.,97,31,293,589,4.33,1.19,4-6 7-6 6-4
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Moore J.,Kuznetsova S.,Kuznetsova S.,914,4,7,2510,11,1.02,2-6 0-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Adamczak M.,Tulyaganova I.,Adamczak M.,241,131,108,218,3.75,1.25,6-1 6-4 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Krajicek M.,Kremer A.,Kremer A.,45,159,448,174,1.39,2.75,4-6 3-6 
Australian Open,2007-01-15 00:00:00,Outdoor,Hard,1st Round,3,Williams S.,Santangelo M.,Williams S.,81,32,331,583,1.3,3.39,6-2 6-1 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Pin C.,Sharapova M.,Sharapova M.,62,2,393,3532,15,1.01,3-6 6-4 7-9
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Rodionova A.,Vinci R.,Rodionova A.,100,87,287,320,2.62,1.44,6-3 6-1 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Savchuk O.,Mirza S.,Mirza S.,102,53,282,431,6,1.11,3-6 5-7 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Ivanovic A.,King V.,Ivanovic A.,14,58,1108,405,1.12,5.5,6-2 6-0 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Bammer S.,Chakvetadze A.,Chakvetadze A.,42,13,464,1258,5,1.14,4-6 5-7 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Granville L.,Beygelzimer Y.,Granville L.,72,107,363,271,1.39,2.75,6-2 6-3 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Ferguson S.,Kostanic J.,Kostanic J.,170,67,163,378,2.62,1.44,5-7 3-6 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Stosur S.,Zakopalova K.,Stosur S.,27,119,714,245,1.25,3.75,6-3 6-1 
Australian Open,2007-01-16 00:00:00,Outdoor,Hard,1st Round,3,Laine E.,Kudryavtseva A.,Kudryavtseva A.,76,134,347,212,1.66,2.1,6-4 2-6 7-9
